relative_position_mm,lambdaA_Wb,lambdaB_Wb,lambdaC_Wb,dLA_dx_Wb_per_m,dLB_dx_Wb_per_m,dLC_dx_Wb_per_m,KF_unit_N,IA_norm,IB_norm,IC_norm
-14.000000,-0.00376401304215,-0.00388046954631,0.0071803519702,-1.69911652506,1.66249577371,-0.0024807117172,2.37705399093,-0.709316115861,0.704876540931,0.00443957493019
-13.750000,-0.00417839423591,-0.00345067703347,0.00716879636912,-1.5899887413,1.75673648069,-0.0939002332993,2.37091450587,-0.680864383483,0.730711282238,-0.0498468987549
-13.500000,-0.0045590074128,-0.00300210130596,0.00713340185355,-1.47866033704,1.8460984347,-0.189957642683,2.37067500057,-0.6486846524,0.753767717048,-0.105083064648
-13.250000,-0.00491772440442,-0.00252762781612,0.00707381754778,-1.37148310856,1.92561131867,-0.286312887725,2.37634416454,-0.614706785525,0.77275824434,-0.158051458816
-13.000000,-0.00524474896708,-0.00203929564663,0.00699024540969,-1.25022911924,1.98878272039,-0.392965990592,2.37338188325,-0.575307749276,0.789416512961,-0.214108763686
-12.750000,-0.00554283896404,-0.00153323645592,0.00687733455248,-1.13940111715,2.04738454981,-0.487503782075,2.38091242158,-0.537424639847,0.801047803772,-0.263623163925
-12.500000,-0.00581444952565,-0.00101560337173,0.00674649351865,-1.03343200502,2.08605974293,-0.583431980307,2.38466733167,-0.498950346275,0.809195115577,-0.310244769302
-12.250000,-0.00605955496655,-0.000490206584457,0.00658561856233,-0.920183174102,2.1103759528,-0.687049582522,2.38496886904,-0.456147493978,0.814543778451,-0.358396284473
-12.000000,-0.0062745411127,3.95846046745e-005,0.00640296872739,-0.81107459112,2.1178093704,-0.784927373312,2.38082097467,-0.413727198974,0.81647196034,-0.402744761366
-11.750000,-0.00646509226211,0.000568698100743,0.00619315487567,-0.707067765155,2.10868863582,-0.89997525457,2.38171897408,-0.367080658984,0.815156385613,-0.448075726629
-11.500000,-0.00662807499528,0.00109392892259,0.0059529811001,-0.595149235579,2.0874717108,-1.01306763094,2.37938753582,-0.317266876024,0.810174915612,-0.492908039589
-11.250000,-0.0067626668799,0.00161243395615,0.0056866210602,-0.496634532948,2.04915266051,-1.12317802251,2.37608018531,-0.269245080724,0.802178017367,-0.532932936643
-11.000000,-0.00687639226175,0.00211850525284,0.00539139208885,-0.401403548688,1.98895131584,-1.24044146023,2.36972281765,-0.21821355947,0.790492963809,-0.57227940434
-10.750000,-0.00696336865425,0.00260690961407,0.00506640033009,-0.2974959205,1.92439861971,-1.35573761118,2.36755742746,-0.163833104396,0.774642353239,-0.610809248843
-10.500000,-0.007025140222,0.0030807045627,0.00471352328326,-0.199364211528,1.8451327273,-1.45490456693,2.35560292779,-0.111642554313,0.756286804538,-0.644644250225
-10.250000,-0.00706305076001,0.00352947597771,0.00433894804662,-0.110059264901,1.75889009273,-1.56003376055,2.35305852621,-0.0593518120243,0.734912052141,-0.675560240117
-10.000000,-0.00708016985446,0.00396014960907,0.00393350640299,-0.0192086716946,1.66671820476,-1.67474385278,2.36280305644,-0.0042875199,0.709240792103,-0.704953272203
-9.750000,-0.00707265509586,0.0043628350801,0.00350157612023,0.0857748887429,1.55851466796,-1.76516258761,2.35526095496,0.0535252362498,0.678823157535,-0.732348393785
-9.500000,-0.00703728241008,0.00473940694305,0.00305092510918,0.179719113361,1.45205431217,-1.8593618651,2.36235512387,0.10818946058,0.646777070017,-0.754966530596
-9.250000,-0.00698279553918,0.00508886223618,0.00257189518769,0.268478394115,1.34099164448,-1.93394038669,2.36122235061,0.159508559927,0.61372806623,-0.773236626157
-9.000000,-0.00690304321303,0.00540990276529,0.00208395491584,0.369011020196,1.23259413976,-1.9928105486,2.36129994784,0.211499101108,0.577222701937,-0.788721803045
-8.750000,-0.00679829002908,0.00570515930606,0.00157548991338,0.475546428525,1.11295934579,-2.0547249677,2.36944385005,0.266287308857,0.535301034275,-0.801588343132
-8.500000,-0.00666526999876,0.00596638243818,0.00105659243199,0.568888451924,1.00733790378,-2.0918511026,2.37183089589,0.312317108627,0.49717406981,-0.809491178437
-8.250000,-0.00651384580312,0.00620882825795,0.000529564362081,0.67097263301,0.903099353523,-2.11430498753,2.37461457892,0.358395129704,0.456148559913,-0.814543689617
-8.000000,-0.00632978368226,0.00641793211495,-5.60061771963e-007,0.78645067514,0.781844554079,-2.12370803343,2.37425642845,0.409217919724,0.407277892941,-0.816495812665
-7.750000,-0.00612062046555,0.00659975053499,-0.000532289654633,0.885310155004,0.684303224709,-2.1184446274,2.37475206435,0.44983807795,0.365194744731,-0.815032822681
-7.500000,-0.00588712860476,0.0067600837273,-0.00105978237547,1.0002417307,0.576342608247,-2.09159561989,2.37044602397,0.494384662561,0.315557927776,-0.809942590337
-7.250000,-0.0056204996002,0.00688792183911,-0.00157808746458,1.11506620068,0.471261256045,-2.05299629784,2.36804990091,0.536569132501,0.264697773546,-0.801266906047
-7.000000,-0.00532959550442,0.00699571435532,-0.00208628052439,1.22599826809,0.382051875495,-2.00152456353,2.36717734745,0.573322657692,0.216802520534,-0.790125178226
-6.750000,-0.00500750046615,0.00707894777686,-0.00257884974635,1.33983962466,0.283005077709,-1.92780609946,2.3581132217,0.611291014539,0.163121462192,-0.774412476731
-6.500000,-0.00465967569209,0.00713721689418,-0.00305018357412,1.44747314141,0.182429920735,-1.85382681542,2.35550824315,0.646193617418,0.10913618009,-0.755329797508
-6.250000,-0.00428376389545,0.00717016273723,-0.00350576315406,1.55547573495,0.0885802674927,-1.7689241034,2.3561083086,0.677854421819,0.0552618771123,-0.733116298931
-6.000000,-0.00388193782461,0.00718150702792,-0.00393464562582,1.66173408087,-0.00208127494155,-1.6723645264,2.35756521305,0.706649093652,0.000914488050666,-0.707563581703
-5.750000,-0.00345289685501,0.00716912209976,-0.00434194541726,1.75690649089,-0.0934007264319,-1.57180246995,2.35864451608,0.731919843912,-0.052559209504,-0.679360634408
-5.500000,-0.00300348457917,0.00713480666471,-0.0047205468608,1.84781874362,-0.186846682459,-1.45692191791,2.35755985005,0.754933975128,-0.108104740956,-0.646829234172
-5.250000,-0.0025289874832,0.00707569875853,-0.00507040637621,1.92615826655,-0.287881083404,-1.34803696057,2.36264365436,0.774307002379,-0.162795529302,-0.611511473078
-5.000000,-0.00204040544589,0.00699086612301,-0.00539456534109,1.98748842154,-0.391602537513,-1.23111384386,2.36109110143,0.79026927015,-0.217354263569,-0.572915006581
-4.750000,-0.00153524327243,0.00687989748977,-0.00568596329814,2.04690808275,-0.483411346433,-1.11789354732,2.3679142323,0.801707114439,-0.266878645411,-0.534828469027
-4.500000,-0.00101695140452,0.00674916044979,-0.00595351211474,2.08839650963,-0.583637088295,-1.01529168193,2.3776017067,0.809740584839,-0.314095081328,-0.495645503511
-4.250000,-0.000491045017616,0.00658807894562,-0.0061936091391,2.11007551316,-0.687774566627,-0.901102692861,2.37631845136,0.814849861906,-0.362538664529,-0.452311197378
-4.000000,3.80863520619e-005,0.00640527316648,-0.00640406346117,2.1154353804,-0.787409078117,-0.788626376678,2.37065969167,0.816496527107,-0.407991520976,-0.408505006131
